tAtm,Prec,rSoil,rRoot,hCritA,rB,hB,ht
685,0,0.00656388,0,100000,0,0,0
686,0,0.00422867,0,100000,0,0,0
687,0,0.00877257,0,100000,0,0,0
688,0,0.0223661,0,100000,0,0,0
689,0,0.0256647,0,100000,0,0,0
690,0,0.0253993,0,100000,0,0,0
691,0,0.0345895,0,100000,0,0,0
692,0,0.0154101,0,100000,0,0,0
693,0,0.0448966,0,100000,0,0,0
694,0,0.0509437,0,100000,0,0,0
695,0,0.0209253,0,100000,0,0,0
696,0,0.0297407,0,100000,0,0,0
697,0,0.00292723,0,100000,0,0,0
698,0,0.00307473,0,100000,0,0,0
