tAtm,Prec,rSoil,rRoot,hCritA,rB,hB,ht
152,0,0,7,100000,0,0,0
153,0,0,6,100000,0,0,0
154,0,0,7,100000,0,0,0
155,0,0,3,100000,0,0,0
156,0,0,7,100000,0,0,0
157,0,0,9,100000,0,0,0
158,0,0,4,100000,0,0,0
159,0,0,9,100000,0,0,0
160,0,0,7,100000,0,0,0
161,0.2286,0,6,100000,0,0,0
162,0,0,7,100000,0,0,0
163,0,0,6,100000,0,0,0
164,0,0,4,100000,0,0,0
165,0,0,2,100000,0,0,0
166,0,0,8,100000,0,0,0
167,0,0,4,100000,0,0,0
168,0,0,7,100000,0,0,0
169,0,0,5,100000,0,0,0
170,0,0,6,100000,0,0,0
171,1.4224,0,9,100000,0,0,0
172,1.651,0,3,100000,0,0,0
173,1.651,0,2,100000,0,0,0
174,1.651,0,1,100000,0,0,0
175,0.381,0,6,100000,0,0,0
176,1.651,0,6,100000,0,0,0
177,0,0,8,100000,0,0,0
178,1.651,0,3,100000,0,0,0
179,0,0,7,100000,0,0,0
180,1.651,0,1,100000,0,0,0
181,1.651,0,8,100000,0,0,0
182,0,0,2,100000,0,0,0
183,1.651,0,1,100000,0,0,0
184,0,0,3,100000,0,0,0
185,0,0,6,100000,0,0,0
186,0,0,6,100000,0,0,0
187,0,0,3,100000,0,0,0
188,0,0,5,100000,0,0,0
189,0,0,3,100000,0,0,0
190,0,0,8,100000,0,0,0
191,0,0,3,100000,0,0,0
192,0,0,4,100000,0,0,0
193,0,0,5,100000,0,0,0
194,0.508,0,6,100000,0,0,0
195,1.651,0,4,100000,0,0,0
196,1.651,0,3,100000,0,0,0
197,1.7526,0,6,100000,0,0,0
198,1.651,0,3,100000,0,0,0
199,1.651,0,1,100000,0,0,0
200,0.1778,0,7,100000,0,0,0
201,1.905,0,5,100000,0,0,0
202,0,0,8,100000,0,0,0
203,0,0,6,100000,0,0,0
204,0,0,3,100000,0,0,0
205,0,0,3,100000,0,0,0
206,0,0,1,100000,0,0,0
207,0,0,3,100000,0,0,0
208,0,0,7,100000,0,0,0
209,0,0,4,100000,0,0,0
210,0,0,6,100000,0,0,0
211,0,0,4,100000,0,0,0
212,0,0,1,100000,0,0,0
213,0,0,7,100000,0,0,0
214,0.127,0,2,100000,0,0,0
215,0,0,5,100000,0,0,0
216,0,0,4,100000,0,0,0
217,0,0,8,100000,0,0,0
218,0,0,3,100000,0,0,0
219,0,0,1,100000,0,0,0
220,1.016,0,5,100000,0,0,0
221,0,0,5,100000,0,0,0
222,0,0,3,100000,0,0,0
223,0,0,8,100000,0,0,0
224,0,0,2,100000,0,0,0
225,0,0,9,100000,0,0,0
226,0,0,9,100000,0,0,0
227,0,0,2,100000,0,0,0
228,0,0.118359,0,100000,0,0,0
229,1.6256,0.0372599,0,100000,0,0,0
230,1.9304,0.0103738,0,100000,0,0,0
231,0,0.0542587,0,100000,0,0,0
232,0.127,0.050047,0,100000,0,0,0
233,0.1524,0.0312328,0,100000,0,0,0
234,0,0.0801331,0,100000,0,0,0
235,0,0.0757118,0,100000,0,0,0
236,0,0.0642277,0,100000,0,0,0
237,0,0.0647911,0,100000,0,0,0
238,0,0.0653055,0,100000,0,0,0
239,0,0.0606327,0,100000,0,0,0
240,0,0.065867,0,100000,0,0,0
241,0,0.0704974,0,100000,0,0,0
242,0,0.0724077,0,100000,0,0,0
243,0,0.0788783,0,100000,0,0,0
244,0,0.0698298,0,100000,0,0,0
245,0,0.0575035,0,100000,0,0,0
246,0,0.0588415,0,100000,0,0,0
247,0,0.0643762,0,100000,0,0,0
248,0,0.0965084,0,100000,0,0,0
249,0,0.0814019,0,100000,0,0,0
250,0,0.0617135,0,100000,0,0,0
251,0,0.0647304,0,100000,0,0,0
252,0,0.0795229,0,100000,0,0,0
253,0,0.0622587,0,100000,0,0,0
254,0.3048,0.0527767,0,100000,0,0,0
255,0,0.0557431,0,100000,0,0,0
256,0,0.0499561,0,100000,0,0,0
257,0,0.0584374,0,100000,0,0,0
258,0,0.090896,0,100000,0,0,0
259,0.3302,0.0427828,0,100000,0,0,0
260,0,0.0604339,0,100000,0,0,0
261,0,0.0939176,0,100000,0,0,0
262,0.127,0.0494132,0,100000,0,0,0
263,0,0.0481776,0,100000,0,0,0
264,0,0.0799132,0,100000,0,0,0
265,0,0.0883916,0,100000,0,0,0
266,0,0.0499186,0,100000,0,0,0
267,0,0.046503,0,100000,0,0,0
268,0,0.0694307,0,100000,0,0,0
269,0,0.0759891,0,100000,0,0,0
270,0,0.0806817,0,100000,0,0,0
271,0,0.0360972,0,100000,0,0,0
272,0,0.059295,0,100000,0,0,0
273,0,0.0682675,0,100000,0,0,0
274,0,0.0364437,0,100000,0,0,0
275,0,0.0520851,0,100000,0,0,0
276,0,0.0824028,0,100000,0,0,0
277,0,0.0605461,0,100000,0,0,0
278,0,0.0693911,0,100000,0,0,0
279,0,0.054606,0,100000,0,0,0
280,0,0.0314687,0,100000,0,0,0
281,0,0.0242493,0,100000,0,0,0
282,0,0.0375981,0,100000,0,0,0
283,0,0.0668216,0,100000,0,0,0
284,0,0.0191964,0,100000,0,0,0
285,0,0.0187846,0,100000,0,0,0
286,0,0.0296928,0,100000,0,0,0
287,0,0.0270959,0,100000,0,0,0
288,0,0.0550216,0,100000,0,0,0
289,0,0.078832,0,100000,0,0,0
290,0,0.0714543,0,100000,0,0,0
291,0,0.031114,0,100000,0,0,0
292,0,0.0169558,0,100000,0,0,0
293,0,0.0218646,0,100000,0,0,0
294,0,0.0363874,0,100000,0,0,0
295,0,0.0264963,0,100000,0,0,0
296,0,0.0520933,0,100000,0,0,0
297,0,0.0358054,0,100000,0,0,0
298,0,0.0319144,0,100000,0,0,0
299,0,0.0372675,0,100000,0,0,0
300,0,0.0474763,0,100000,0,0,0
301,0,0.0524158,0,100000,0,0,0
302,0,0.046234,0,100000,0,0,0
303,0,0.00936035,0,100000,0,0,0
304,0,0.00871273,0,100000,0,0,0
305,0,0.00926334,0,100000,0,0,0
306,0,0.0169602,0,100000,0,0,0
307,0,0.0503622,0,100000,0,0,0
308,0,0.0683926,0,100000,0,0,0
309,0,0.0571301,0,100000,0,0,0
310,0,0.0240145,0,100000,0,0,0
311,0,0.0309368,0,100000,0,0,0
312,0,0.0319027,0,100000,0,0,0
313,0,0.0326892,0,100000,0,0,0
314,0,0.0288018,0,100000,0,0,0
315,0,0.015754,0,100000,0,0,0
316,0,0.0361283,0,100000,0,0,0
317,0,0.035989,0,100000,0,0,0
318,0,0.0605862,0,100000,0,0,0
319,0,0.0897565,0,100000,0,0,0
320,0,0.0268964,0,100000,0,0,0
321,0,0.00943453,0,100000,0,0,0
322,0,0.0483496,0,100000,0,0,0
323,0,0.0329014,0,100000,0,0,0
324,0,0.0195981,0,100000,0,0,0
325,0,0.0481726,0,100000,0,0,0
326,0,0.0688432,0,100000,0,0,0
327,0.2032,0.0263328,0,100000,0,0,0
328,0,0.00902279,0,100000,0,0,0
329,0,0.0698876,0,100000,0,0,0
330,0,0.0417917,0,100000,0,0,0
331,0,0.0343683,0,100000,0,0,0
332,0,0.0748178,0,100000,0,0,0
333,0,0.0326598,0,100000,0,0,0
334,0,0.0587022,0,100000,0,0,0
335,0,0.0692597,0,100000,0,0,0
336,0,0.0217489,0,100000,0,0,0
337,0,0.00321112,0,100000,0,0,0
338,0.254,0.0056216,0,100000,0,0,0
339,0,0.00400949,0,100000,0,0,0
340,0,0.00335438,0,100000,0,0,0
341,0,0.0112491,0,100000,0,0,0
342,0,0.0376491,0,100000,0,0,0
343,0,0.0119169,0,100000,0,0,0
344,0,0.019922,0,100000,0,0,0
345,0,0.046784,0,100000,0,0,0
346,0,0.0220846,0,100000,0,0,0
347,0,0.00330286,0,100000,0,0,0
348,0.1524,0.00888884,0,100000,0,0,0
349,0,0.00202733,0,100000,0,0,0
350,0,0.010806,0,100000,0,0,0
351,0,0.00308576,0,100000,0,0,0
352,0,0.0324638,0,100000,0,0,0
353,0,0.0079478,0,100000,0,0,0
354,0,0.00224366,0,100000,0,0,0
355,0,0.0223767,0,100000,0,0,0
356,0,0.0332862,0,100000,0,0,0
357,0,0.0238017,0,100000,0,0,0
358,0,0.00158783,0,100000,0,0,0
359,0,0.00160255,0,100000,0,0,0
360,0,9.15022e-4,0,100000,0,0,0
361,0,8.4364e-4,0,100000,0,0,0
362,0,0.0010775,0,100000,0,0,0
363,0,0.00173942,0,100000,0,0,0
364,0,0.00683867,0,100000,0,0,0
365,0,0.00114416,0,100000,0,0,0
366,0,0.0112278,0,100000,0,0,0
367,0,0.0303106,0,100000,0,0,0
368,0,0.0249646,0,100000,0,0,0
369,0,0.00188197,0,100000,0,0,0
370,0,0.00142772,0,100000,0,0,0
371,0.254,0.00169954,0,100000,0,0,0
372,0,0.0228342,0,100000,0,0,0
373,0,0.00328688,0,100000,0,0,0
374,0,0.0300977,0,100000,0,0,0
375,0,0.0420721,0,100000,0,0,0
376,0,0.042666,0,100000,0,0,0
377,0,0.0433744,0,100000,0,0,0
378,0,0.041137,0,100000,0,0,0
379,0,0.011282,0,100000,0,0,0
380,0,0.0490375,0,100000,0,0,0
381,0,0.0315427,0,100000,0,0,0
382,0,0.0447778,0,100000,0,0,0
383,0.1778,0.00654346,0,100000,0,0,0
384,0,0.00278183,0,100000,0,0,0
385,0,0.0259927,0,100000,0,0,0
386,0,0.0121052,0,100000,0,0,0
387,0,0.0363357,0,100000,0,0,0
388,0,0.0398519,0,100000,0,0,0
389,0.2032,0.00601644,0,100000,0,0,0
390,0,0.0164413,0,100000,0,0,0
391,0,0.0167934,0,100000,0,0,0
392,0,0.0218238,0,100000,0,0,0
393,0,0.0685876,0,100000,0,0,0
394,0,0.0519354,0,100000,0,0,0
395,0,0.0710647,0,100000,0,0,0
396,0.1524,0.02136,0,100000,0,0,0
397,0,0.0044185,0,100000,0,0,0
398,0,0.00303329,0,100000,0,0,0
399,0,0.0114,0,100000,0,0,0
400,0,0.0292598,0,100000,0,0,0
401,0,0.0237454,0,100000,0,0,0
402,0,0.0306238,0,100000,0,0,0
403,0,0.0724153,0,100000,0,0,0
404,0,0.038328,0,100000,0,0,0
405,0,0.0350866,0,100000,0,0,0
406,0,0.0429772,0,100000,0,0,0
407,0.1778,0.0100542,0,100000,0,0,0
408,0,0.02092,0,100000,0,0,0
409,0,0.0302268,0,100000,0,0,0
410,0.1524,0.0250042,0,100000,0,0,0
411,0.3048,0.00996764,0,100000,0,0,0
412,0,0.0106159,0,100000,0,0,0
413,0,0.0313844,0,100000,0,0,0
414,0,0.017531,0,100000,0,0,0
415,0,0.0526528,0,100000,0,0,0
416,0,0.0103959,0,100000,0,0,0
417,0,0.00542089,0,100000,0,0,0
418,0,0.00407322,0,100000,0,0,0
419,0,0.00510493,0,100000,0,0,0
420,0,0.00944773,0,100000,0,0,0
421,0,0.0198283,0,100000,0,0,0
422,0,0.0365183,0,100000,0,0,0
423,0,0.0561229,0,100000,0,0,0
424,0,0.0471612,0,100000,0,0,0
425,0,0.0513661,0,100000,0,0,0
426,0,0.0237826,0,100000,0,0,0
427,0,0.013189,0,100000,0,0,0
428,0,0.0148765,0,100000,0,0,0
429,0,0.0115157,0,100000,0,0,0
430,0,0.0130087,0,100000,0,0,0
431,0,0.0292777,0,100000,0,0,0
432,0,0.009027,0,100000,0,0,0
433,0,0.00933289,0,100000,0,0,0
434,0,0.0211166,0,100000,0,0,0
435,0,0.027508,0,100000,0,0,0
436,0,0.0475429,0,100000,0,0,0
437,0.3048,0.0225592,0,100000,0,0,0
438,0,0.0581943,0,100000,0,0,0
439,0,0.0640191,0,100000,0,0,0
440,0,0.0407825,0,100000,0,0,0
441,0,0.054228,0,100000,0,0,0
442,0,0.0508753,0,100000,0,0,0
443,0,0.0637394,0,100000,0,0,0
444,0,0.0408316,0,100000,0,0,0
445,0,0.040654,0,100000,0,0,0
446,0,0.0495822,0,100000,0,0,0
447,0,0.075153,0,100000,0,0,0
448,0,0.0380171,0,100000,0,0,0
449,0,0.0339594,0,100000,0,0,0
450,0,0.0346287,0,100000,0,0,0
451,0,0.0549747,0,100000,0,0,0
452,0.3302,0.0560346,0,100000,0,0,0
453,0,0.0277455,0,100000,0,0,0
454,0,0.0501538,0,100000,0,0,0
455,0,0.0441042,0,100000,0,0,0
456,0,0.039343500000000003,0,100000,0,0,0
457,0,0.0496826,0,100000,0,0,0
458,0,0.0627859,0,100000,0,0,0
459,0,0.0662156,0,100000,0,0,0
460,0,0.0608112,0,100000,0,0,0
461,0,0.0576283,0,100000,0,0,0
462,0,0.0575154,0,100000,0,0,0
463,0,0.0937142,0,100000,0,0,0
464,0,0.0534289,0,100000,0,0,0
465,0.2032,0.0379609,0,100000,0,0,0
466,0,0.0263995,0,100000,0,0,0
467,0,0.0243629,0,100000,0,0,0
468,0,0.0236286,0,100000,0,0,0
469,0,0.0245623,0,100000,0,0,0
470,0,0.0234085,0,100000,0,0,0
471,0.2032,0.0289619,0,100000,0,0,0
472,0,0.0317614,0,100000,0,0,0
473,0,0.0499702,0,100000,0,0,0
474,0,0.0659137,0,100000,0,0,0
475,0,0.04991,0,100000,0,0,0
476,0.1778,0.0464938,0,100000,0,0,0
477,0,0.0339552,0,100000,0,0,0
478,0.0762,0.0373475,0,100000,0,0,0
479,0,0.0616439,0,100000,0,0,0
480,0,0.0760843,0,100000,0,0,0
481,0,0.0732452,0,100000,0,0,0
482,0,0.080708,0,100000,0,0,0
483,0,0.0628422,0,100000,0,0,0
484,0.4572,0.0463382,0,100000,0,0,0
485,0,0.0616513,0,100000,0,0,0
486,0.127,0.0396107,0,100000,0,0,0
487,0,0.0746422,0,100000,0,0,0
488,0,0.0628268,0,100000,0,0,0
489,0,0.096262,0,100000,0,0,0
490,0,0.0974548,0,100000,0,0,0
491,0.2032,0.0932764,0,100000,0,0,0
492,0,0.0828533,0,100000,0,0,0
493,0,0.0800437,0,100000,0,0,0
494,0,0.0775429,0,100000,0,0,0
495,0,0.0901176,0,100000,0,0,0
496,0,0.0753117,0,100000,0,0,0
497,0.3556,0.062272,0,100000,0,0,0
498,0,0.0728138,0,100000,0,0,0
499,0,0.0839871,0,100000,0,0,0
500,0,0.0906897,3,100000,0,0,0
501,0.1778,0.0569516,5,100000,0,0,0
502,0,0.0269623,9,100000,0,0,0
503,0,0,8,100000,0,0,0
504,0.381,0,6,100000,0,0,0
505,0.1524,0,8,100000,0,0,0
506,0,0,2,100000,0,0,0
507,0,0,4,100000,0,0,0
508,0,0,5,100000,0,0,0
509,0,0,9,100000,0,0,0
510,1.651,0,7,100000,0,0,0
511,0,0,1,100000,0,0,0
512,1.651,0,1,100000,0,0,0
513,1.651,0,8,100000,0,0,0
514,0,0,2,100000,0,0,0
515,1.8542,0,8,100000,0,0,0
516,1.651,0,2,100000,0,0,0
517,0,0,1,100000,0,0,0
518,0,0,1,100000,0,0,0
519,0,0,8,100000,0,0,0
520,0.3048,0,5,100000,0,0,0
521,0,0,9,100000,0,0,0
522,0,0,7,100000,0,0,0
523,0,0,9,100000,0,0,0
524,0,0,8,100000,0,0,0
525,0,0,7,100000,0,0,0
526,0,0,2,100000,0,0,0
527,0,0,9,100000,0,0,0
528,0,0,1,100000,0,0,0
529,0,0,8,100000,0,0,0
530,0,0,6,100000,0,0,0
531,0,0,4,100000,0,0,0
532,0,0,7,100000,0,0,0
533,0,0,9,100000,0,0,0
534,2.6924,0,8,100000,0,0,0
535,1.8288,0,9,100000,0,0,0
536,1.7526,0,3,100000,0,0,0
537,1.7526,0,1,100000,0,0,0
538,1.651,0,4,100000,0,0,0
539,0,0,1,100000,0,0,0
540,1.9558,0,7,100000,0,0,0
541,1.651,0,6,100000,0,0,0
542,0,0,2,100000,0,0,0
543,0,0,9,100000,0,0,0
544,0,0,9,100000,0,0,0
545,0,0,1,100000,0,0,0
546,0,0,9,100000,0,0,0
547,0,0,4,100000,0,0,0
548,0.3048,0,8,100000,0,0,0
549,0.2794,0,9,100000,0,0,0
550,0.2794,0,3,100000,0,0,0
551,0,0,1,100000,0,0,0
552,0,0,2,100000,0,0,0
553,0.8128,0,4,100000,0,0,0
554,0.1778,0,6,100000,0,0,0
555,0.3556,0,6,100000,0,0,0
556,0,0,7,100000,0,0,0
557,0,0,4,100000,0,0,0
558,0,0,9,100000,0,0,0
559,0,0,7,100000,0,0,0
560,0,0,1,100000,0,0,0
561,1.651,0,1,100000,0,0,0
562,1.651,0,1,100000,0,0,0
563,1.651,0,9,100000,0,0,0
564,2.1082,0,8,100000,0,0,0
565,1.651,0,5,100000,0,0,0
566,0,0,2,100000,0,0,0
567,1.651,0,2,100000,0,0,0
568,1.651,0,2,100000,0,0,0
569,1.651,0,8,100000,0,0,0
570,0,0,3,100000,0,0,0
571,2.0828,0,2,100000,0,0,0
572,0,0,5,100000,0,0,0
573,0,0,1,100000,0,0,0
574,0,0,5,100000,0,0,0
575,0,0,4,100000,0,0,0
576,0,0,4,100000,0,0,0
577,0,0,2,100000,0,0,0
578,0,0,3,100000,0,0,0
579,0,0,2,100000,0,0,0
580,0,0,2,100000,0,0,0
581,0,0,4,100000,0,0,0
582,0,0,3,100000,0,0,0
583,0,0,4,100000,0,0,0
584,0,0,2,100000,0,0,0
585,0,0,9,100000,0,0,0
586,0,0,9,100000,0,0,0
587,0,0,8,100000,0,0,0
588,0,0,8,100000,0,0,0
589,0.0762,0,6,100000,0,0,0
590,0,0,2,100000,0,0,0
591,0,0,8,100000,0,0,0
592,0,0,5,100000,0,0,0
593,0,0,3,100000,0,0,0
594,0,0,3,100000,0,0,0
595,0,0,4,100000,0,0,0
596,0,0,7,100000,0,0,0
597,0,0,8,100000,0,0,0
598,0,0.00121524,5,100000,0,0,0
599,0,0.0816872,0,100000,0,0,0
600,0,0.0758404,0,100000,0,0,0
601,0.2286,0.0639945,0,100000,0,0,0
602,0.6096,0.0736989,0,100000,0,0,0
603,0.1778,0.0778732,0,100000,0,0,0
604,0,0.0965494,0,100000,0,0,0
605,0,0.0714284,0,100000,0,0,0
606,0,0.0774601,0,100000,0,0,0
607,0,0.0747248,0,100000,0,0,0
608,0,0.076007,0,100000,0,0,0
609,0,0.0814225,0,100000,0,0,0
610,0,0.0720442,0,100000,0,0,0
611,0,0.0789903,0,100000,0,0,0
612,0,0.10277,0,100000,0,0,0
613,0,0.0970988,0,100000,0,0,0
614,0,0.064016,0,100000,0,0,0
615,0,0.106083,0,100000,0,0,0
616,0.6604,0.0508908,0,100000,0,0,0
617,0.1016,0.0310045,0,100000,0,0,0
618,0,0.0563523,0,100000,0,0,0
619,0,0.0726308,0,100000,0,0,0
620,0,0.0563188,0,100000,0,0,0
621,0,0.0389773,0,100000,0,0,0
622,0,0.0494368,0,100000,0,0,0
623,0,0.0521138,0,100000,0,0,0
624,0.127,0.0414293,0,100000,0,0,0
625,0,0.0578048,0,100000,0,0,0
626,0.1524,0.0507539,0,100000,0,0,0
627,0,0.057682,0,100000,0,0,0
628,0,0.0283033,0,100000,0,0,0
629,0,0.041151,0,100000,0,0,0
630,0.3302,0.045251,0,100000,0,0,0
631,0,0.0691282,0,100000,0,0,0
632,0,0.053491,0,100000,0,0,0
633,0,0.0467784,0,100000,0,0,0
634,0,0.0482844,0,100000,0,0,0
635,0,0.0494148,0,100000,0,0,0
636,0,0.0585339,0,100000,0,0,0
637,0.2032,0.0321681,0,100000,0,0,0
638,1.4224,0.0191521,0,100000,0,0,0
639,0.6096,0.0203552,0,100000,0,0,0
640,0,0.0200144,0,100000,0,0,0
641,0,0.0347208,0,100000,0,0,0
642,0,0.0302708,0,100000,0,0,0
